CoReg;Year;Series;Value;Footnotes;Source
Bahamas;2018;Changes in stocks (petajoules);-5;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;1995;Total supply (petajoules);26;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2000;Total supply (petajoules);28;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2005;Total supply (petajoules);28;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2010;Total supply (petajoules);28;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2015;Total supply (petajoules);31;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2016;Total supply (petajoules);29;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2017;Total supply (petajoules);30;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2018;Total supply (petajoules);39;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;1995;Supply per capita (gigajoules);91;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2000;Supply per capita (gigajoules);94;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2005;Supply per capita (gigajoules);86;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2010;Supply per capita (gigajoules);78;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2015;Supply per capita (gigajoules);82;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2016;Supply per capita (gigajoules);76;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2017;Supply per capita (gigajoules);79;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahamas;2018;Supply per capita (gigajoules);101;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;1995;Primary energy production (petajoules);341;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2000;Primary energy production (petajoules);706;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2005;Primary energy production (petajoules);672;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2010;Primary energy production (petajoules);849;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2015;Primary energy production (petajoules);957;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2016;Primary energy production (petajoules);940;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2017;Primary energy production (petajoules);942;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2018;Primary energy production (petajoules);946;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-94;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-382;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-353;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-339;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-383;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-378;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-380;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-371;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;1995;Changes in stocks (petajoules);-10;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2000;Changes in stocks (petajoules);-6;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2005;Changes in stocks (petajoules);-28;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2010;Changes in stocks (petajoules);-3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2015;Changes in stocks (petajoules);-4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2016;Changes in stocks (petajoules);6;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2017;Changes in stocks (petajoules);-16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2018;Changes in stocks (petajoules);-7;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;1995;Total supply (petajoules);257;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2000;Total supply (petajoules);331;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2005;Total supply (petajoules);348;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2010;Total supply (petajoules);513;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2015;Total supply (petajoules);577;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2016;Total supply (petajoules);556;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2017;Total supply (petajoules);579;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2018;Total supply (petajoules);582;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;1995;Supply per capita (gigajoules);459;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2000;Supply per capita (gigajoules);518;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2005;Supply per capita (gigajoules);480;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2010;Supply per capita (gigajoules);413;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2015;Supply per capita (gigajoules);421;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2016;Supply per capita (gigajoules);390;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2017;Supply per capita (gigajoules);387;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bahrain;2018;Supply per capita (gigajoules);371;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;1995;Primary energy production (petajoules);792;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2000;Primary energy production (petajoules);857;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2005;Primary energy production (petajoules);1027;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2010;Primary energy production (petajoules);1304;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2015;Primary energy production (petajoules);1510;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2016;Primary energy production (petajoules);1602;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2017;Primary energy production (petajoules);1605;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2018;Primary energy production (petajoules);1602;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;1995;Net imports [Imports - Exports - Bunkers] (petajoules);123;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2000;Net imports [Imports - Exports - Bunkers] (petajoules);139;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2005;Net imports [Imports - Exports - Bunkers] (petajoules);165;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2010;Net imports [Imports - Exports - Bunkers] (petajoules);163;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2015;Net imports [Imports - Exports - Bunkers] (petajoules);287;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2016;Net imports [Imports - Exports - Bunkers] (petajoules);261;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2017;Net imports [Imports - Exports - Bunkers] (petajoules);319;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2018;Net imports [Imports - Exports - Bunkers] (petajoules);313;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;1995;Changes in stocks (petajoules);-4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2000;Changes in stocks (petajoules);-3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2005;Changes in stocks (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2010;Changes in stocks (petajoules);-26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2015;Changes in stocks (petajoules);-7;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2016;Changes in stocks (petajoules);-16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2017;Changes in stocks (petajoules);-18;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2018;Changes in stocks (petajoules);-49;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;1995;Total supply (petajoules);918;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2000;Total supply (petajoules);998;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2005;Total supply (petajoules);1191;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2010;Total supply (petajoules);1493;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2015;Total supply (petajoules);1803;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2016;Total supply (petajoules);1879;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2017;Total supply (petajoules);1943;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2018;Total supply (petajoules);1964;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;1995;Supply per capita (gigajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2000;Supply per capita (gigajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2005;Supply per capita (gigajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2010;Supply per capita (gigajoules);10;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2015;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2016;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2017;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Bangladesh;2018;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;1995;Primary energy production (petajoules);5;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2000;Primary energy production (petajoules);6;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2005;Primary energy production (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2010;Primary energy production (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2015;Primary energy production (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2016;Primary energy production (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2017;Primary energy production (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2018;Primary energy production (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;1995;Net imports [Imports - Exports - Bunkers] (petajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2000;Net imports [Imports - Exports - Bunkers] (petajoules);10;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2005;Net imports [Imports - Exports - Bunkers] (petajoules);12;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2010;Net imports [Imports - Exports - Bunkers] (petajoules);16;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2015;Net imports [Imports - Exports - Bunkers] (petajoules);15;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2016;Net imports [Imports - Exports - Bunkers] (petajoules);16;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2017;Net imports [Imports - Exports - Bunkers] (petajoules);14;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2018;Net imports [Imports - Exports - Bunkers] (petajoules);14;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;1995;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2000;Changes in stocks (petajoules);-1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2005;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2010;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2015;Changes in stocks (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2016;Changes in stocks (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2017;Changes in stocks (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2018;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;1995;Total supply (petajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2000;Total supply (petajoules);16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2005;Total supply (petajoules);17;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2010;Total supply (petajoules);20;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2015;Total supply (petajoules);17;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2016;Total supply (petajoules);17;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2017;Total supply (petajoules);16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2018;Total supply (petajoules);17;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;1995;Supply per capita (gigajoules);47;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2000;Supply per capita (gigajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2005;Supply per capita (gigajoules);64;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2010;Supply per capita (gigajoules);71;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2015;Supply per capita (gigajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2016;Supply per capita (gigajoules);60;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2017;Supply per capita (gigajoules);55;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Barbados;2018;Supply per capita (gigajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;1995;Primary energy production (petajoules);139;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2000;Primary energy production (petajoules);143;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2005;Primary energy production (petajoules);155;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2010;Primary energy production (petajoules);167;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2015;Primary energy production (petajoules);163;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2016;Primary energy production (petajoules);166;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2017;Primary energy production (petajoules);180;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2018;Primary energy production (petajoules);171;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;1995;Net imports [Imports - Exports - Bunkers] (petajoules);908;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2000;Net imports [Imports - Exports - Bunkers] (petajoules);885;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2005;Net imports [Imports - Exports - Bunkers] (petajoules);962;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2010;Net imports [Imports - Exports - Bunkers] (petajoules);980;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2015;Net imports [Imports - Exports - Bunkers] (petajoules);891;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2016;Net imports [Imports - Exports - Bunkers] (petajoules);867;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2017;Net imports [Imports - Exports - Bunkers] (petajoules);900;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2018;Net imports [Imports - Exports - Bunkers] (petajoules);989;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;1995;Changes in stocks (petajoules);9;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2000;Changes in stocks (petajoules);-2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2005;Changes in stocks (petajoules);-4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2010;Changes in stocks (petajoules);-4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2015;Changes in stocks (petajoules);-13;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2016;Changes in stocks (petajoules);-27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2017;Changes in stocks (petajoules);-1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2018;Changes in stocks (petajoules);22;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;1995;Total supply (petajoules);1038;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2000;Total supply (petajoules);1029;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2005;Total supply (petajoules);1121;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2010;Total supply (petajoules);1152;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2015;Total supply (petajoules);1067;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2016;Total supply (petajoules);1060;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2017;Total supply (petajoules);1081;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2018;Total supply (petajoules);1139;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;1995;Supply per capita (gigajoules);101;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2000;Supply per capita (gigajoules);102;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2005;Supply per capita (gigajoules);114;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2010;Supply per capita (gigajoules);122;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2015;Supply per capita (gigajoules);113;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2016;Supply per capita (gigajoules);112;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2017;Supply per capita (gigajoules);114;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belarus;2018;Supply per capita (gigajoules);120;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;1995;Primary energy production (petajoules);495;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2000;Primary energy production (petajoules);570;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2005;Primary energy production (petajoules);577;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2010;Primary energy production (petajoules);646;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2015;Primary energy production (petajoules);444;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2016;Primary energy production (petajoules);637;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2017;Primary energy production (petajoules);626;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2018;Primary energy production (petajoules);484;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;1995;Net imports [Imports - Exports - Bunkers] (petajoules);1765;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2000;Net imports [Imports - Exports - Bunkers] (petajoules);1827;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2005;Net imports [Imports - Exports - Bunkers] (petajoules);1861;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2010;Net imports [Imports - Exports - Bunkers] (petajoules);1867;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2015;Net imports [Imports - Exports - Bunkers] (petajoules);1778;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2016;Net imports [Imports - Exports - Bunkers] (petajoules);1652;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2017;Net imports [Imports - Exports - Bunkers] (petajoules);1621;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2018;Net imports [Imports - Exports - Bunkers] (petajoules);1751;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;1995;Changes in stocks (petajoules);29;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2000;Changes in stocks (petajoules);-21;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2005;Changes in stocks (petajoules);18;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2010;Changes in stocks (petajoules);18;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2015;Changes in stocks (petajoules);39;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2016;Changes in stocks (petajoules);-19;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2017;Changes in stocks (petajoules);-53;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2018;Changes in stocks (petajoules);21;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;1995;Total supply (petajoules);2231;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2000;Total supply (petajoules);2418;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2005;Total supply (petajoules);2421;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2010;Total supply (petajoules);2496;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2015;Total supply (petajoules);2182;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2016;Total supply (petajoules);2308;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2017;Total supply (petajoules);2300;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2018;Total supply (petajoules);2215;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
